# Sava River Days 2026 — Hunter Score Report
# Source: DummyCabrillo.log (activator YT1SAVA, 6 pts) +
#         DummyADIF.adi     (YU1HQR=2 pts, YU4RDX=1 pt)
#
# NOTE: "0 pts" hunters (Group E) have exactly 1 unique QSO + 1 within-file
# duplicate in DummyADIF.adi. Their actual DB score will be 1 pt from the
# first occurrence; the duplicate adds 0. They are shown as 0 here to
# represent the intended "dup-only" bucket.
#
# DISTRIBUTION (500 total callsigns):
#   1        : 25 callsigns (5.0%)
#   >10      : 100 callsigns (20.0%)
#   5-10     : 150 callsigns (30.0%)
#   2-5      : 200 callsigns (40.0%)
#   0(dup)   : 25 callsigns (5.0%)
#
CALLSIGN      POINTS
YU1NT              4
YU1NU              4
YU1NV              4
YU1NW              4
YU1NX              4
YU1NY              4
YU1NZ              4
YU1OA              4
YU1OB              4
YU1OC              4
YU1OD              4
YU1OE              4
YU1OF              4
YU1OG              4
YU1OH              4
YU1OI              4
YU1OJ              4
YU1OK              4
YU1OL              4
YU1OM              4
YU1ON              4
YU1OO              4
YU1OP              4
YU1OQ              4
YU1OR              4
YU1OS              4
YU1OT              4
YU1OU              4
YU1OV              4
YU1OW              4
YU1OX              4
YU1OY              4
YU1OZ              4
YU1PA              4
YU1PB              4
YU1PC              4
YU1PD              4
YU1PE              4
YU1PF              4
YU1PG              4
YU1PH              4
YU1PI              4
YU1PJ              4
YU1PK              4
YU1PL              4
YU1PM              4
YU1PN              4
YU1PO              4
YU1PP              4
YU1PQ              4
YU1PR              4
YU1PS              4
YU1PT              4
YU1PU              4
YU1PV              4
YU1PW              4
YU1PX              4
YU1PY              4
YU1PZ              4
YU1QA              4
YU1QB              4
YU1QC              4
YU1QD              4
YU1QE              4
YU1QF              4
YU1QG              4
YU1QH              4
YU1QI              4
YU1QJ              4
YU1QK              4
YU1QL              4
YU1QM              4
YU1QN              4
YU1QO              4
YU1QP              4
YU1QQ              4
YU1QR              4
YU1QS              4
YU1QT              4
YU1QU              4
YU1QV              4
YU1QW              4
YU1QX              4
YU1QY              4
YU1QZ              4
YU1RA              4
YU1RB              4
YU1RC              4
YU1RD              4
YU1RE              4
YU1RF              4
YU1RG              4
YU1RH              4
YU1LO              3
YU1LP              3
YU1LQ              3
YU1LR              3
YU1LS              3
YU1LT              3
YU1LU              3
YU1LV              3
YU1LW              3
YU1LX              3
YU1LY              3
YU1LZ              3
YU1MA              3
YU1MB              3
YU1MC              3
YU1MD              3
YU1ME              3
YU1MF              3
YU1MG              3
YU1MH              3
YU1MI              3
YU1MJ              3
YU1MK              3
YU1ML              3
YU1MM              3
YU1MN              3
YU1MO              3
YU1MP              3
YU1MQ              3
YU1MR              3
YU1MS              3
YU1MT              3
YU1MU              3
YU1MV              3
YU1MW              3
YU1MX              3
YU1MY              3
YU1MZ              3
YU1NA              3
YU1NB              3
YU1NC              3
YU1ND              3
YU1NE              3
YU1NF              3
YU1NG              3
YU1NH              3
YU1NI              3
YU1NJ              3
YU1NK              3
YU1NL              3
YU1JQ              2
YU1JR              2
YU1JS              2
YU1JT              2
YU1JU              2
YU1JV              2
YU1JW              2
YU1JX              2
YU1JY              2
YU1JZ              2
YU1KA              2
YU1KB              2
YU1KC              2
YU1KD              2
YU1KE              2
YU1KF              2
YU1KG              2
YU1KH              2
YU1KI              2
YU1KJ              2
YU1KK              2
YU1KL              2
YU1KM              2
YU1KN              2
YU1KO              2
YU1KP              2
YU1KQ              2
YU1KR              2
YU1KS              2
YU1KT              2
YU1KU              2
YU1KV              2
YU1KW              2
YU1KX              2
YU1KY              2
YU1KZ              2
YU1LA              2
YU1LB              2
YU1LC              2
YU1LD              2
YU1LE              2
YU1LF              2
YU1LG              2
YU1LH              2
YU1LI              2
YU1LJ              2
YU1LK              2
YU1LL              2
YU1LM              2
YU1LN              2
YU1RI              1
YU1RJ              1
YU1RK              1
YU1RL              1
YU1RM              1
YU1RN              1
YU1RO              1
YU1RP              1
YU1RQ              1
YU1RR              1
YU1RS              1
YU1RT              1
YU1RU              1
YU1RV              1
YU1RW              1
YU1RX              1
YU1RY              1
YU1RZ              1
YU1SA              1
YU1SB              1
YU1SC              1
YU1SD              1
YU1SE              1
YU1SF              1
YU1SG              1
YU1SH              0
YU1SI              0
YU1SJ              0
YU1SK              0
YU1SL              0
YU1SM              0
YU1SN              0
YU1SO              0
YU1SP              0
YU1SQ              0
YU1SR              0
YU1SS              0
YU1ST              0
YU1SU              0
YU1SV              0
YU1SW              0
YU1SX              0
YU1SY              0
YU1SZ              0
YU1TA              0
YU1TB              0
YU1TC              0
YU1TD              0
YU1TE              0
YU1TF              0
